type,experiment_number,VM_ID,VM_exTime,VM_costPerStorage,VM_powerCompsuption
FUZZY,7,46,12.444,8.400,88.550
FUZZY,7,48,8.000,0.600,1.900
FUZZY,7,49,11.000,3.300,20.900
FUZZY,7,47,10.000,12.000,202.000
FUZZY,8,0,12.000,0.900,2.850
FUZZY,8,1,14.000,4.200,26.600
FUZZY,8,2,12.000,8.100,85.387
FUZZY,8,3,8.500,10.200,171.700
FUZZY,8,4,4.000,0.300,0.950
FUZZY,8,5,17.000,5.100,32.300
FUZZY,8,6,7.111,4.800,50.600
FUZZY,8,7,7.250,8.700,146.450
FUZZY,8,8,12.000,0.900,2.850
FUZZY,8,9,10.000,3.000,19.000
FUZZY,8,10,10.667,7.200,75.900
FUZZY,8,11,10.000,12.000,202.000
FUZZY,8,12,12.000,0.900,2.850
FUZZY,8,13,10.000,3.000,19.000
FUZZY,8,14,7.556,5.100,53.763
FUZZY,8,15,4.250,5.100,85.850
FUZZY,8,16,32.000,2.400,7.600
FUZZY,8,17,13.000,3.900,24.700
FUZZY,8,20,20.000,1.500,4.750
FUZZY,8,18,7.556,5.100,53.763
FUZZY,8,19,6.500,7.800,131.300
FUZZY,8,21,13.000,3.900,24.700
FUZZY,8,22,8.444,5.700,60.088
FUZZY,8,23,9.000,10.800,181.800
FUZZY,8,24,0.000,0.000,0.000
FUZZY,8,25,14.000,4.200,26.600
FUZZY,8,26,19.556,13.200,139.150
FUZZY,8,27,8.750,10.500,176.750
FUZZY,8,28,8.000,0.600,1.900
FUZZY,8,29,12.000,3.600,22.800
FUZZY,8,30,11.556,7.800,82.225
FUZZY,8,31,10.750,12.900,217.150
FUZZY,8,32,20.000,1.500,4.750
FUZZY,8,33,7.000,2.100,13.300
FUZZY,8,34,8.444,5.700,60.088
FUZZY,8,35,9.500,11.400,191.900
FUZZY,8,36,12.000,0.900,2.850
FUZZY,8,37,8.000,2.400,15.200
FUZZY,8,38,9.333,6.300,66.413
FUZZY,8,39,7.250,8.700,146.450
FUZZY,8,40,12.000,0.900,2.850
FUZZY,8,41,14.000,4.200,26.600
FUZZY,8,42,9.778,6.600,69.575
FUZZY,8,44,12.000,0.900,2.850
FUZZY,8,45,9.000,2.700,17.100
FUZZY,8,43,7.750,9.300,156.550
FUZZY,8,46,11.556,7.800,82.225
FUZZY,8,47,8.750,10.500,176.750
FUZZY,8,48,8.000,0.600,1.900
FUZZY,8,49,12.000,3.600,22.800
FUZZY,9,0,16.000,1.200,3.800
FUZZY,9,1,8.000,2.400,15.200
FUZZY,9,2,9.333,6.300,66.413
FUZZY,9,3,8.750,10.500,176.750
FUZZY,9,4,4.000,0.300,0.950
FUZZY,9,5,15.000,4.500,28.500
FUZZY,9,6,11.556,7.800,82.225
FUZZY,9,7,8.000,9.600,161.600
FUZZY,9,8,0.000,0.000,0.000
FUZZY,9,9,11.000,3.300,20.900
FUZZY,9,10,5.333,3.600,37.950
FUZZY,9,11,9.500,11.400,191.900
FUZZY,9,12,12.000,0.900,2.850
FUZZY,9,13,19.000,5.700,36.100
FUZZY,9,14,9.333,6.300,66.413
FUZZY,9,15,10.000,12.000,202.000
FUZZY,9,16,0.000,0.000,0.000
FUZZY,9,17,10.000,3.000,19.000
FUZZY,9,20,0.000,0.000,0.000
FUZZY,9,18,13.778,9.300,98.037
FUZZY,9,19,8.750,10.500,176.750
FUZZY,9,21,19.000,5.700,36.100
FUZZY,9,22,12.000,8.100,85.387
FUZZY,9,23,9.000,10.800,181.800
FUZZY,9,24,0.000,0.000,0.000
FUZZY,9,25,9.000,2.700,17.100
FUZZY,9,26,28.000,18.900,199.237
FUZZY,9,27,7.250,8.700,146.450
FUZZY,9,28,8.000,0.600,1.900
FUZZY,9,29,17.000,5.100,32.300
FUZZY,9,30,7.556,5.100,53.763
FUZZY,9,31,8.750,10.500,176.750
FUZZY,9,32,4.000,0.300,0.950
FUZZY,9,33,16.000,4.800,30.400
FUZZY,9,34,10.667,7.200,75.900
FUZZY,9,36,20.000,1.500,4.750
FUZZY,9,35,9.500,11.400,191.900
FUZZY,9,37,18.000,5.400,34.200
FUZZY,9,38,10.667,7.200,75.900
FUZZY,9,39,8.250,9.900,166.650
FUZZY,9,40,12.000,0.900,2.850
FUZZY,9,41,17.000,5.100,32.300
FUZZY,9,42,8.444,5.700,60.088
FUZZY,9,43,7.250,8.700,146.450
FUZZY,9,44,20.000,1.500,4.750
FUZZY,9,45,16.000,4.800,30.400
FUZZY,9,46,12.889,8.700,91.712
FUZZY,9,47,8.750,10.500,176.750
FUZZY,9,48,0.000,0.000,0.000
FUZZY,9,49,12.000,3.600,22.800
FUZZY,10,0,8.000,0.300,0.950
FUZZY,10,1,2.000,0.300,1.900
FUZZY,10,2,0.889,0.300,3.163
FUZZY,10,3,1.000,0.600,10.100
FUZZY,10,4,8.000,0.300,0.950
FUZZY,10,5,2.000,0.300,1.900
FUZZY,10,6,0.889,0.300,3.163
FUZZY,10,7,2.000,1.200,20.200
FUZZY,10,8,8.000,0.300,0.950
FUZZY,10,9,6.000,0.900,5.700
FUZZY,10,10,2.667,0.900,9.488
FUZZY,10,11,1.000,0.600,10.100
FUZZY,10,12,0.000,0.000,0.000
FUZZY,10,13,2.000,0.300,1.900
FUZZY,10,14,0.889,0.300,3.163
FUZZY,10,15,0.500,0.300,5.050
FUZZY,10,16,8.000,0.300,0.950
FUZZY,10,17,2.000,0.300,1.900
FUZZY,10,18,1.778,0.600,6.325
FUZZY,10,19,0.000,0.000,0.000
FUZZY,10,20,0.000,0.000,0.000
FUZZY,10,21,2.000,0.300,1.900
FUZZY,10,22,1.778,0.600,6.325
FUZZY,10,23,1.500,0.900,15.150
FUZZY,10,24,8.000,0.300,0.950
FUZZY,10,25,2.000,0.300,1.900
FUZZY,10,28,0.000,0.000,0.000
FUZZY,10,29,0.000,0.000,0.000
FUZZY,10,26,1.778,0.600,6.325
FUZZY,10,27,2.000,1.200,20.200
FUZZY,10,30,0.000,0.000,0.000
FUZZY,10,31,2.500,1.500,25.250
FUZZY,10,32,8.000,0.300,0.950
FUZZY,10,33,0.000,0.000,0.000
FUZZY,10,34,0.889,0.300,3.163
FUZZY,10,35,0.000,0.000,0.000
FUZZY,10,36,0.000,0.000,0.000
FUZZY,10,37,2.000,0.300,1.900
FUZZY,10,38,1.778,0.600,6.325
FUZZY,10,39,0.000,0.000,0.000
FUZZY,10,40,8.000,0.300,0.950
FUZZY,10,41,2.000,0.300,1.900
FUZZY,10,42,0.889,0.300,3.163
FUZZY,10,44,8.000,0.300,0.950
FUZZY,10,45,0.000,0.000,0.000
FUZZY,10,43,1.000,0.600,10.100
FUZZY,10,46,0.000,0.000,0.000
FUZZY,10,47,2.500,1.500,25.250
FUZZY,10,48,0.000,0.000,0.000
FUZZY,10,49,0.000,0.000,0.000
FUZZY,11,0,8.000,0.300,0.950
FUZZY,11,1,2.000,0.300,1.900
FUZZY,11,2,0.889,0.300,3.163
FUZZY,11,3,5.000,3.000,50.500
FUZZY,11,4,8.000,0.300,0.950
FUZZY,11,5,2.000,0.300,1.900
FUZZY,11,6,2.667,0.900,9.488
FUZZY,11,7,5.500,3.300,55.550
FUZZY,11,8,8.000,0.300,0.950
FUZZY,11,9,8.000,1.200,7.600
FUZZY,11,10,2.667,0.900,9.488
FUZZY,11,11,3.500,2.100,35.350
FUZZY,11,12,8.000,0.300,0.950
FUZZY,11,13,4.000,0.600,3.800
FUZZY,11,14,1.778,0.600,6.325
FUZZY,11,15,5.000,3.000,50.500
FUZZY,11,16,8.000,0.300,0.950
FUZZY,11,17,2.000,0.300,1.900
FUZZY,11,18,2.667,0.900,9.488
FUZZY,11,19,3.500,2.100,35.350
FUZZY,11,20,8.000,0.300,0.950
FUZZY,11,21,6.000,0.900,5.700
FUZZY,11,24,0.000,0.000,0.000
FUZZY,11,28,0.000,0.000,0.000
FUZZY,11,22,3.556,1.200,12.650
FUZZY,11,23,3.000,1.800,30.300
FUZZY,11,25,0.000,0.000,0.000
FUZZY,11,26,3.556,1.200,12.650
FUZZY,11,27,3.500,2.100,35.350
FUZZY,11,29,0.000,0.000,0.000
FUZZY,11,30,3.556,1.200,12.650
FUZZY,11,31,4.000,2.400,40.400
FUZZY,11,32,8.000,0.300,0.950
